employee_id,work_life_balance,career_growth,salary_benefits,job_security,work_environment,team_collaboration,training_development,management_support,autonomy_control,recognition_rewards,technology_tools,company_culture,age,department,experience_years,education_level,true_cluster
EMP066,4,5,6,4,5,5,5,5,4,6,6,5,30,IT,1,3,Career_Growth
EMP067,5,7,5,5,4,4,6,3,4,6,7,6,34,IT,6,3,Career_Growth
EMP068,4,5,6,3,5,5,7,4,4,6,7,5,35,Sales,1,4,Career_Growth
EMP069,3,6,5,4,5,4,5,3,4,6,6,5,30,IT,8,4,Career_Growth
EMP070,3,6,4,4,4,6,5,4,5,6,5,4,27,Marketing,9,4,Career_Growth
EMP071,3,6,6,3,4,5,7,4,4,6,6,4,26,IT,8,4,Career_Growth
EMP072,4,6,5,5,4,6,6,4,4,7,7,6,25,IT,3,4,Career_Growth
EMP073,4,6,5,4,3,5,6,4,4,6,6,4,37,Marketing,5,3,Career_Growth
EMP074,5,6,6,4,4,6,6,4,5,6,5,5,29,Sales,9,3,Career_Growth
EMP075,4,6,4,4,4,5,6,4,5,6,6,5,28,Marketing,5,4,Career_Growth
EMP076,4,6,5,4,4,5,6,3,4,5,6,4,37,IT,7,3,Career_Growth
EMP077,4,5,5,4,5,5,5,5,4,6,6,5,31,IT,1,4,Career_Growth
EMP078,3,6,4,5,4,5,6,4,3,6,6,5,29,Sales,3,3,Career_Growth
EMP079,4,6,5,4,4,5,6,4,4,5,6,5,36,IT,7,3,Career_Growth
EMP080,5,7,4,4,4,6,6,5,5,7,6,6,27,IT,2,4,Career_Growth
EMP081,4,6,5,5,4,5,7,3,4,6,6,5,30,IT,1,4,Career_Growth
EMP082,3,7,4,4,4,5,6,4,4,7,7,6,33,Sales,4,3,Career_Growth
EMP083,4,7,5,4,3,5,6,3,4,6,6,5,34,IT,6,3,Career_Growth
EMP084,4,4,5,4,4,5,5,3,4,6,6,6,32,IT,8,4,Career_Growth
EMP085,4,6,5,4,5,4,6,4,4,7,7,5,33,IT,6,4,Career_Growth
EMP086,4,6,6,4,4,4,6,4,6,6,6,6,27,Marketing,5,3,Career_Growth
EMP087,4,6,6,3,4,5,7,4,3,6,7,5,31,Marketing,6,3,Career_Growth
EMP088,4,5,6,4,4,5,5,4,3,6,7,5,37,IT,9,3,Career_Growth
EMP089,3,6,5,3,4,3,7,4,5,5,5,6,33,IT,4,3,Career_Growth
EMP090,4,6,5,4,4,5,6,5,5,6,7,4,31,IT,8,4,Career_Growth
EMP091,3,7,6,3,4,5,6,4,3,6,6,5,35,Marketing,2,4,Career_Growth
EMP092,4,6,6,4,4,6,5,4,3,6,7,5,33,IT,1,3,Career_Growth
EMP093,5,6,4,4,3,4,7,4,4,6,7,5,31,Marketing,7,4,Career_Growth
EMP094,5,6,6,4,4,5,6,4,4,6,6,4,25,IT,9,3,Career_Growth
EMP095,5,5,6,3,4,4,5,4,5,5,6,5,28,IT,8,3,Career_Growth
EMP096,4,7,5,5,5,4,6,5,4,7,7,5,36,Marketing,9,3,Career_Growth
EMP097,4,6,5,4,4,4,6,4,4,6,6,5,26,IT,3,4,Career_Growth
EMP098,4,6,5,3,4,5,5,3,4,6,6,4,26,IT,1,3,Career_Growth
EMP099,4,6,5,4,4,5,6,3,4,5,7,5,37,IT,3,3,Career_Growth
EMP100,4,7,5,5,3,5,6,4,4,6,5,5,26,Marketing,2,3,Career_Growth
EMP101,3,7,5,4,3,5,7,5,4,6,6,5,31,IT,4,4,Career_Growth
EMP102,4,6,5,4,3,5,6,4,4,7,7,5,27,IT,2,3,Career_Growth
EMP103,4,6,5,4,5,5,5,4,4,6,7,5,30,Marketing,6,4,Career_Growth
EMP104,4,6,5,4,3,5,7,5,4,6,7,4,26,Marketing,4,3,Career_Growth
EMP105,3,7,5,4,5,5,6,4,4,5,6,6,26,IT,3,3,Career_Growth
EMP106,6,5,5,3,4,6,5,4,4,6,5,6,30,IT,6,4,Career_Growth
EMP107,4,6,6,3,4,6,6,4,3,6,6,5,25,Sales,9,3,Career_Growth
EMP108,4,6,6,3,4,5,5,4,4,6,6,6,31,IT,6,4,Career_Growth
EMP109,4,6,6,4,5,5,6,4,4,6,6,5,29,IT,6,3,Career_Growth
EMP110,4,6,5,5,4,4,6,4,4,5,6,5,36,IT,9,3,Career_Growth
EMP111,4,5,5,4,5,6,5,4,5,6,7,6,29,IT,3,4,Career_Growth
EMP112,4,7,6,5,3,5,7,4,5,6,4,6,35,IT,3,3,Career_Growth
EMP113,5,6,6,3,4,6,6,3,4,6,7,4,25,Marketing,2,3,Career_Growth
EMP114,5,7,5,4,4,4,5,4,5,5,5,6,36,IT,3,4,Career_Growth
EMP115,5,7,5,4,5,5,6,3,4,6,7,5,31,IT,9,3,Career_Growth
EMP116,3,6,5,4,4,6,6,4,2,5,6,5,25,IT,1,3,Career_Growth
EMP117,5,6,5,5,5,5,6,4,4,6,5,5,30,Marketing,7,4,Career_Growth
EMP118,4,6,6,5,4,4,6,3,4,6,5,4,25,Marketing,4,4,Career_Growth
EMP119,5,6,5,4,5,5,5,4,4,6,5,5,32,IT,8,4,Career_Growth
EMP120,4,6,4,4,3,6,6,5,5,4,6,5,37,IT,7,3,Career_Growth
EMP121,3,7,5,4,5,6,6,5,4,6,5,4,33,IT,6,4,Career_Growth
EMP122,4,5,4,5,5,5,6,5,4,6,7,5,26,Sales,8,3,Career_Growth
EMP123,3,6,5,4,4,4,5,4,4,6,5,6,33,IT,5,4,Career_Growth
EMP124,5,6,5,4,5,4,6,5,4,6,6,5,37,IT,4,4,Career_Growth
EMP125,4,6,4,4,4,5,7,4,3,6,6,5,37,IT,5,3,Career_Growth
EMP126,3,6,5,4,4,5,6,5,4,6,6,5,27,IT,6,3,Career_Growth
EMP127,4,6,5,5,4,4,6,4,3,6,7,6,34,IT,3,3,Career_Growth
EMP128,4,6,5,3,4,5,7,4,5,5,6,5,31,Sales,3,4,Career_Growth
EMP129,4,6,4,4,3,4,5,4,4,6,6,5,29,IT,7,3,Career_Growth
EMP130,3,6,5,4,4,5,6,4,4,6,6,5,27,IT,3,3,Career_Growth
EMP131,4,5,4,4,5,5,6,4,4,6,5,4,27,IT,3,4,Career_Growth
EMP132,3,6,5,3,4,4,6,4,5,5,6,5,37,Sales,6,4,Career_Growth
EMP133,4,6,5,4,3,5,5,4,4,5,6,4,31,IT,8,3,Career_Growth
EMP134,5,6,6,4,4,5,6,4,5,6,6,5,27,Marketing,3,3,Career_Growth
EMP135,4,6,4,3,4,4,6,4,4,6,6,5,31,IT,8,3,Career_Growth
EMP136,4,6,5,5,3,5,5,4,4,7,6,5,29,Sales,2,3,Career_Growth
EMP137,4,6,5,4,4,4,6,4,4,6,6,6,32,Marketing,1,4,Career_Growth
EMP138,4,6,6,5,4,5,6,4,4,5,6,5,27,IT,6,4,Career_Growth
EMP139,4,6,5,3,5,5,6,5,2,6,6,5,30,IT,9,3,Career_Growth
EMP140,4,5,6,3,4,5,6,3,3,6,6,5,31,IT,1,3,Career_Growth
EMP141,4,6,5,4,4,5,7,3,3,6,6,6,33,Marketing,6,4,Career_Growth
EMP142,4,7,5,3,4,4,5,5,3,7,7,5,25,IT,9,3,Career_Growth
EMP143,4,6,5,4,5,5,6,3,4,6,6,5,31,IT,1,3,Career_Growth
EMP144,5,7,4,4,4,6,6,3,4,5,6,5,31,IT,7,4,Career_Growth
EMP145,4,6,5,4,4,6,6,4,3,6,5,5,27,Marketing,5,3,Career_Growth
EMP146,4,4,5,5,4,5,6,4,5,7,6,5,31,IT,9,4,Career_Growth
EMP147,6,6,3,4,4,5,6,4,4,6,5,5,32,Marketing,4,3,Career_Growth
EMP148,4,5,5,4,4,5,6,5,5,7,6,5,37,IT,6,4,Career_Growth
EMP149,4,6,4,4,5,5,6,4,4,6,6,4,30,IT,7,4,Career_Growth
EMP150,4,6,5,4,4,5,6,4,3,7,6,5,34,IT,4,4,Career_Growth
EMP151,4,5,4,4,4,5,6,4,4,5,7,4,28,Marketing,6,4,Career_Growth
EMP152,5,6,5,4,4,5,5,5,4,6,6,5,37,IT,6,3,Career_Growth
EMP153,4,6,4,6,3,5,6,5,4,6,6,6,35,Sales,6,4,Career_Growth
EMP154,3,6,5,4,4,5,6,3,5,5,5,5,26,IT,7,4,Career_Growth
EMP155,3,6,5,4,5,5,6,5,3,7,6,4,26,IT,2,4,Career_Growth
EMP156,3,7,5,4,4,4,6,5,4,6,6,5,34,Marketing,9,3,Career_Growth
EMP157,4,6,5,3,4,5,7,4,4,6,7,5,33,IT,9,3,Career_Growth
EMP158,4,7,5,4,4,5,6,4,4,6,6,4,33,IT,7,3,Career_Growth
EMP159,4,6,5,4,5,4,6,5,4,6,5,4,30,IT,1,4,Career_Growth
EMP160,3,7,6,3,5,5,6,4,4,6,6,3,31,Sales,4,4,Career_Growth
EMP161,5,6,4,3,4,5,7,5,4,6,6,5,36,IT,5,4,Career_Growth
EMP162,4,7,5,4,5,4,6,4,5,6,5,5,32,IT,7,4,Career_Growth
EMP163,5,7,6,4,5,5,5,4,4,6,6,5,36,Marketing,7,4,Career_Growth
EMP164,3,6,5,3,4,5,6,3,4,6,6,6,32,Sales,3,3,Career_Growth
EMP165,4,6,4,2,4,4,6,3,4,7,6,6,35,Marketing,7,4,Career_Growth
EMP166,5,6,6,4,5,4,6,4,4,6,6,6,31,Marketing,6,3,Career_Growth
EMP167,4,5,5,4,4,5,6,5,4,6,6,6,26,IT,2,3,Career_Growth
EMP168,4,6,4,4,5,4,7,4,4,6,6,6,37,Marketing,4,3,Career_Growth
EMP169,5,7,5,4,5,5,6,4,3,5,6,4,29,IT,9,3,Career_Growth
EMP170,5,6,4,4,3,5,6,4,4,7,7,6,25,Sales,9,3,Career_Growth
EMP171,6,3,2,4,4,5,3,5,7,4,3,7,39,HR,17,3,Work_Life
EMP172,5,3,3,3,5,6,3,6,6,4,4,6,33,HR,19,2,Work_Life
EMP173,6,3,3,3,4,5,3,6,6,3,4,6,32,Operations,17,2,Work_Life
EMP174,7,3,2,4,5,6,2,6,7,4,4,6,35,HR,16,2,Work_Life
EMP175,6,4,3,5,6,5,3,6,6,2,5,6,31,Operations,19,3,Work_Life
EMP176,7,3,3,5,4,6,3,6,7,3,5,6,44,HR,5,3,Work_Life
EMP177,7,2,3,4,5,5,3,6,7,4,4,7,34,Operations,10,3,Work_Life
EMP178,6,3,3,4,5,5,2,7,6,3,4,7,30,HR,8,4,Work_Life
EMP179,7,2,3,5,5,5,3,7,7,3,5,6,35,HR,5,3,Work_Life
EMP180,7,3,3,4,5,5,4,6,6,2,4,6,47,HR,12,3,Work_Life
EMP181,6,4,3,4,5,5,4,6,6,3,4,6,49,Operations,15,3,Work_Life
EMP182,6,2,3,4,4,6,4,7,7,2,3,6,34,HR,17,4,Work_Life
EMP183,6,3,3,5,5,5,4,6,5,3,4,6,33,HR,7,2,Work_Life
EMP184,5,4,3,4,5,5,3,7,6,3,5,7,31,HR,11,3,Work_Life
EMP185,5,3,4,5,6,6,2,4,7,4,4,5,37,Operations,12,4,Work_Life
EMP186,6,2,2,5,5,4,2,5,5,4,3,7,30,HR,15,4,Work_Life
EMP187,6,3,4,4,6,5,4,6,6,4,4,6,31,HR,5,2,Work_Life
EMP188,6,4,4,4,6,5,3,5,6,3,4,6,41,HR,18,3,Work_Life
EMP189,6,3,3,4,5,6,4,6,7,4,4,6,42,Operations,19,3,Work_Life
EMP190,5,4,3,3,4,5,3,5,6,4,4,6,42,Operations,16,3,Work_Life
EMP191,5,2,2,5,4,5,2,6,7,3,3,5,43,HR,13,2,Work_Life
EMP192,6,2,2,3,5,5,3,6,6,2,5,7,45,HR,18,2,Work_Life
EMP193,6,3,3,5,6,5,3,6,6,3,4,6,42,Operations,8,3,Work_Life
EMP194,6,3,4,4,5,5,4,5,5,3,4,6,31,HR,15,2,Work_Life
EMP195,7,4,4,4,4,4,3,6,6,3,4,7,43,HR,19,3,Work_Life
EMP196,4,1,4,5,5,6,3,7,7,4,5,6,34,Operations,10,3,Work_Life
EMP197,5,2,3,4,5,5,4,7,7,2,4,5,30,HR,6,2,Work_Life
EMP198,7,4,2,6,6,5,3,7,5,3,4,5,36,HR,10,3,Work_Life
EMP199,7,3,2,4,5,6,3,6,6,2,4,6,32,HR,11,3,Work_Life
EMP200,7,4,3,3,5,5,3,6,6,4,4,6,37,HR,16,3,Work_Life
EMP201,6,3,2,3,5,6,4,6,5,3,3,5,35,HR,10,3,Work_Life
EMP202,6,3,3,4,5,6,3,6,6,2,4,7,43,HR,10,4,Work_Life
EMP203,6,4,4,3,4,4,4,6,6,4,5,5,39,HR,5,4,Work_Life
EMP204,6,4,3,5,5,6,4,7,6,2,4,6,47,Operations,18,3,Work_Life
EMP205,5,3,3,4,5,4,3,5,5,4,4,6,42,HR,8,3,Work_Life
EMP206,6,3,2,4,5,5,4,6,7,3,4,6,45,Operations,10,3,Work_Life
EMP207,7,2,3,4,5,6,2,6,6,3,3,5,37,HR,15,3,Work_Life
EMP208,6,3,2,5,4,5,4,5,6,3,3,5,49,HR,14,3,Work_Life
EMP209,6,3,3,3,5,5,3,6,6,3,3,5,39,HR,10,4,Work_Life
EMP210,5,3,3,4,6,5,3,7,7,2,3,6,41,HR,15,3,Work_Life
EMP211,6,3,3,4,6,5,3,5,5,3,4,6,47,HR,9,4,Work_Life
EMP212,5,3,2,4,5,4,3,6,6,3,4,5,42,Operations,13,2,Work_Life
EMP213,6,1,2,4,5,5,3,5,6,4,5,6,40,Operations,8,2,Work_Life
EMP214,7,3,3,3,5,4,2,7,5,3,3,6,49,Operations,13,2,Work_Life
EMP215,5,3,4,3,5,5,3,7,6,4,5,6,39,HR,16,4,Work_Life
EMP216,6,3,3,4,4,6,3,6,5,3,4,6,36,HR,6,4,Work_Life
EMP217,6,3,3,5,5,4,2,6,6,3,5,7,37,Operations,19,3,Work_Life
EMP218,5,3,2,5,5,5,4,5,6,3,4,6,36,Operations,9,3,Work_Life
EMP219,7,2,3,3,5,5,3,5,7,3,4,5,46,Operations,8,2,Work_Life
EMP220,6,3,3,5,6,5,3,7,5,2,4,6,41,Operations,5,3,Work_Life
EMP221,5,3,4,4,5,5,5,6,7,2,3,6,31,HR,17,4,Work_Life
EMP222,6,4,2,3,5,5,3,6,5,2,3,6,31,Operations,16,3,Work_Life
EMP223,5,3,4,5,5,5,4,7,6,3,4,6,40,HR,18,3,Work_Life
EMP224,6,3,3,4,5,6,3,6,4,4,3,6,48,HR,13,3,Work_Life
EMP225,6,3,4,4,6,6,2,7,6,3,4,5,33,HR,17,3,Work_Life
EMP226,6,4,3,4,6,6,3,6,5,3,5,5,44,HR,11,3,Work_Life
EMP227,6,4,2,3,4,5,3,6,6,3,5,6,43,Operations,13,3,Work_Life
EMP228,6,3,3,4,4,5,4,7,6,2,6,6,34,HR,8,3,Work_Life
EMP229,5,2,3,4,5,4,4,6,5,3,4,6,33,HR,19,3,Work_Life
EMP230,6,3,2,3,6,5,3,6,5,3,4,6,32,HR,14,4,Work_Life
EMP231,6,2,2,4,5,6,2,6,6,2,4,6,30,HR,13,3,Work_Life
EMP232,6,2,4,4,6,6,4,7,5,3,4,5,49,Operations,12,2,Work_Life
EMP233,6,3,3,5,5,6,3,5,6,4,4,6,34,HR,10,3,Work_Life
EMP234,5,4,2,4,5,5,3,7,6,3,3,6,48,HR,18,3,Work_Life
EMP235,7,3,2,3,5,6,2,5,6,3,4,7,40,HR,19,4,Work_Life
EMP236,6,4,3,4,3,5,3,5,7,3,4,6,39,HR,8,3,Work_Life
EMP237,6,3,3,4,5,5,3,6,6,3,5,5,42,HR,15,3,Work_Life
EMP238,6,3,3,4,5,5,3,7,7,3,4,7,36,HR,13,3,Work_Life
EMP239,6,2,3,4,6,5,2,6,7,2,4,5,49,HR,7,4,Work_Life
EMP240,7,3,3,4,6,6,3,7,6,1,4,6,46,HR,19,3,Work_Life
EMP241,7,3,2,4,4,4,2,6,5,3,3,5,49,HR,18,4,Work_Life
EMP242,6,4,2,4,5,5,3,5,6,3,4,6,42,Operations,9,3,Work_Life
EMP243,6,3,1,4,4,5,2,7,7,3,4,6,47,HR,8,3,Work_Life
EMP244,6,4,5,3,5,5,2,6,6,3,3,5,41,HR,13,2,Work_Life
EMP245,5,3,3,3,5,6,3,6,6,3,4,6,41,Operations,8,3,Work_Life
EMP246,5,3,4,4,5,4,3,6,6,4,4,6,36,Operations,10,4,Work_Life
EMP247,6,3,3,4,6,6,4,7,6,2,4,6,47,HR,7,3,Work_Life
EMP248,6,3,3,4,5,6,4,5,6,3,4,7,47,HR,19,2,Work_Life
EMP249,5,2,3,5,5,4,3,6,6,4,5,5,47,HR,12,3,Work_Life
EMP250,6,2,3,5,6,5,3,6,6,4,4,6,45,Operations,18,3,Work_Life
EMP251,7,4,4,3,5,5,3,6,6,4,4,6,41,Operations,9,3,Work_Life
EMP252,7,3,4,4,6,6,4,6,6,3,4,6,30,HR,12,3,Work_Life
EMP253,6,3,3,4,4,4,3,6,6,4,3,6,37,Operations,16,4,Work_Life
EMP254,5,4,3,5,5,4,3,5,6,2,4,6,39,Operations,6,2,Work_Life
EMP255,6,2,3,4,6,5,4,6,7,3,3,6,47,Operations,7,3,Work_Life
EMP256,5,3,4,3,5,4,2,6,5,3,5,6,49,HR,12,3,Work_Life
EMP257,7,3,3,3,6,6,3,6,5,4,4,7,34,HR,16,4,Work_Life
EMP258,7,2,4,4,5,5,2,7,5,2,3,5,45,HR,8,3,Work_Life
EMP259,6,4,2,4,4,5,3,5,5,3,4,6,46,Operations,16,4,Work_Life
EMP260,5,2,2,4,4,5,3,6,6,3,3,5,45,Operations,9,3,Work_Life
EMP261,7,4,2,4,5,7,3,5,5,4,5,7,31,Operations,18,3,Work_Life
EMP262,6,4,1,5,5,5,3,6,5,4,4,7,34,HR,17,2,Work_Life
EMP263,5,4,2,5,5,5,2,6,7,3,4,5,37,HR,5,2,Work_Life
EMP264,6,4,4,5,5,5,2,6,7,3,4,7,30,HR,17,3,Work_Life
EMP265,6,3,3,4,6,4,3,6,6,3,4,6,35,Operations,12,4,Work_Life
EMP266,6,3,2,4,4,6,2,6,6,3,5,7,31,HR,18,2,Work_Life
EMP267,6,4,3,4,4,6,4,7,7,4,4,6,43,HR,5,3,Work_Life
EMP268,6,4,3,4,5,4,3,6,7,3,4,6,35,HR,13,2,Work_Life
EMP269,6,4,2,4,6,5,3,7,7,4,4,6,45,HR,12,3,Work_Life
EMP270,6,2,3,4,4,5,3,6,6,4,3,6,43,HR,10,2,Work_Life
EMP271,7,4,3,3,5,6,2,5,7,4,4,7,37,Operations,6,3,Work_Life
EMP272,7,4,3,4,5,6,3,6,6,3,5,6,44,Operations,13,2,Work_Life
EMP273,5,3,2,4,6,5,3,5,6,4,4,4,32,HR,14,3,Work_Life
EMP274,5,3,2,5,6,5,3,7,6,3,3,5,47,Operations,5,3,Work_Life
EMP275,6,2,4,4,4,4,3,6,6,3,4,6,34,HR,8,3,Work_Life
EMP276,6,4,3,4,4,5,4,6,7,3,4,6,40,HR,19,2,Work_Life
EMP277,7,3,2,4,5,6,2,5,7,3,4,6,31,Operations,16,4,Work_Life
EMP278,7,2,3,4,5,5,3,6,5,3,5,6,48,Operations,8,4,Work_Life
EMP279,5,4,3,5,5,6,3,6,6,3,5,6,45,Operations,15,2,Work_Life
EMP280,6,3,2,4,5,6,2,5,6,3,4,6,40,Operations,12,3,Work_Life
EMP281,6,2,3,3,6,5,3,5,6,4,5,6,45,Operations,7,3,Work_Life
EMP282,7,3,2,5,5,4,3,7,6,3,4,6,40,Operations,19,2,Work_Life
EMP283,6,4,3,4,5,4,3,6,6,3,4,5,42,Operations,13,3,Work_Life
EMP284,6,4,3,3,5,4,2,5,7,3,3,5,35,Operations,7,3,Work_Life
EMP285,5,3,3,5,5,5,3,6,6,4,4,7,47,Operations,6,3,Work_Life
EMP286,6,2,2,4,6,5,2,6,6,3,3,5,30,Operations,7,3,Work_Life
EMP287,6,4,3,4,5,6,2,5,5,3,4,6,36,HR,16,3,Work_Life
EMP288,6,4,2,5,5,5,3,7,7,2,4,6,34,HR,13,4,Work_Life
EMP289,6,3,4,4,5,4,3,6,6,4,4,6,47,HR,5,4,Work_Life
EMP290,5,4,2,4,5,4,3,6,6,4,3,6,32,Operations,13,4,Work_Life
EMP291,7,3,3,4,5,5,3,6,7,3,4,6,39,Operations,7,3,Work_Life
EMP292,6,2,4,4,6,4,2,6,5,3,5,7,37,HR,6,4,Work_Life
EMP293,6,2,3,4,5,6,3,7,6,5,3,6,34,HR,5,3,Work_Life
EMP294,6,3,4,4,5,6,3,5,5,4,4,6,40,HR,5,3,Work_Life
EMP295,6,3,3,3,5,5,2,7,6,4,4,6,43,HR,10,3,Work_Life
EMP296,5,4,3,5,6,5,2,5,5,3,3,6,32,HR,14,3,Work_Life
EMP297,6,3,3,3,6,6,4,7,4,3,5,6,31,HR,17,3,Work_Life
EMP298,6,2,2,4,4,5,4,6,5,3,4,5,41,Operations,14,3,Work_Life
EMP299,6,3,3,3,4,4,2,6,5,2,5,6,41,Operations,7,3,Work_Life
EMP300,7,3,3,4,5,6,3,6,7,4,3,6,39,HR,16,2,Work_Life
EMP301,6,4,3,4,6,6,4,6,6,3,4,6,38,HR,9,2,Work_Life
EMP302,6,3,3,4,6,5,2,6,7,3,5,6,43,HR,5,3,Work_Life
EMP303,6,3,2,4,4,5,3,5,6,3,3,6,39,HR,13,3,Work_Life
EMP304,5,3,3,6,5,6,2,6,6,3,3,6,44,Operations,16,4,Work_Life
EMP305,6,3,3,4,6,5,4,6,6,3,4,6,31,Operations,15,3,Work_Life
EMP306,7,3,3,4,5,5,2,6,4,3,6,5,42,HR,5,4,Work_Life
